code,type,neighborhood,rent_value,condominium_value,property_tax,bedrooms,suites,bathrooms,parking_spaces,private_area,furnished,amenities,latitude,longitude
207,APARTMENT,Consolação,4690,2593,783,3,1,2,1,200,True,"['FURNISHED', 'SERVICE_AREA']",-23.547633,-46.659018
208,APARTMENT,Perdizes,3500,1264,290,3,1,3,2,93,False,"['POOL', 'GYM', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY']",-23.525821,-46.682533
209,APARTMENT,Santa Cecília,4985,1818,400,3,1,2,1,179,False,"['SERVICE_AREA', 'PLAYGROUND', 'SPORTS_COURT', 'ADULT_GAME_ROOM']",-23.538461,-46.658238
211,APARTMENT,Perdizes,1800,160,100,2,0,1,0,60,False,['GATED_COMMUNITY'],-23.539962,-46.677767
212,APARTMENT,Santa Cecília,3500,2201,565,3,0,2,1,186,False,"['ELEVATOR', 'INTERCOM']",-23.551466,-46.66087
213,APARTMENT,Higienópolis,3990,1116,56,3,1,2,1,150,False,['SERVICE_AREA'],-23.544988,-46.653456
216,APARTMENT,Liberdade,4000,850,180,3,1,2,2,80,False,"['POOL', 'ELEVATOR', 'GATED_COMMUNITY', 'GARDEN', 'PARTY_HALL']",-23.564416,-46.639611
217,APARTMENT,Perdizes,2500,969,205,2,0,2,1,79,False,"['POOL', 'GYM', 'BARBECUE_GRILL', 'ELEVATOR', 'GARDEN']",-23.537636,-46.6777
220,APARTMENT,Santa Cecília,4800,1070,428,3,1,3,2,80,False,"['POOL', 'GYM', 'AIR_CONDITIONING', 'ELEVATOR', 'GATED_COMMUNITY']",-23.534383,-46.659965
221,APARTMENT,Pinheiros,4150,1565,549,3,2,4,2,148,False,"['SERVICE_AREA', 'SECURITY_24_HOURS', 'PARTY_HALL']",-23.559434,-46.672377
224,APARTMENT,Higienópolis,4485,1375,439,2,0,2,1,117,False,['SERVICE_AREA'],-23.542934,-46.659928
225,APARTMENT,Pinheiros,3985,850,230,2,0,1,1,130,False,['SERVICE_AREA'],-23.560703,-46.673096
226,APARTMENT,Pinheiros,4990,886,124,3,0,2,1,75,False,['PARTY_HALL'],-23.563569,-46.683119
228,APARTMENT,Pinheiros,3190,1343,406,2,0,1,2,85,False,"['PLAYGROUND', 'PARTY_HALL']",-23.55477,-46.677964
230,APARTMENT,Santa Cecília,4985,3000,1990,3,1,2,2,220,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'CLOSET']",-23.542545,-46.663815
236,APARTMENT,Perdizes,4690,1700,660,4,1,4,2,178,False,"['GOURMET_BALCONY', 'SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'HOME_OFFICE']",-23.529838,-46.683034
238,APARTMENT,Vila Romana,4200,0,430,3,3,4,3,201,False,"['ELEVATOR', 'SERVICE_AREA', 'PETS_ALLOWED', 'INTERNET_ACCESS']",-23.533079,-46.696032
239,APARTMENT,Santa Cecília,3900,2552,460,3,1,3,1,190,False,"['AIR_CONDITIONING', 'ELEVATOR', 'KITCHEN', 'SERVICE_AREA', 'HOME_OFFICE']",-23.538101,-46.654653
241,APARTMENT,Santa Cecília,3185,1123,430,3,1,3,1,142,False,"['PLAYGROUND', 'PARTY_HALL']",-23.537082,-46.659473
242,APARTMENT,Pinheiros,3185,998,286,2,0,1,1,69,False,['PARTY_HALL'],-23.5529,-46.677953
243,APARTMENT,Pinheiros,3764,1168,140,2,0,2,1,87,False,"['SERVICE_AREA', 'PARTY_HALL']",-23.5636,-46.698165
247,APARTMENT,Pinheiros,4100,1062,242,2,1,2,2,62,False,"['POOL', 'BARBECUE_GRILL']",-23.561654,-46.676532
252,APARTMENT,Vila Pompéia,2500,750,270,3,1,2,2,70,False,"['BALCONY', 'GYM', 'ELEVATOR', 'GATED_COMMUNITY', 'GOURMET_SPACE']",-23.528912,-46.685803
253,APARTMENT,Perdizes,2785,1470,160,3,1,2,1,109,False,"['AIR_CONDITIONING', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'ADULT_GAME_ROOM']",-23.540641,-46.671253
254,APARTMENT,Perdizes,3500,630,263,2,1,2,1,66,False,"['POOL', 'BALCONY', 'SERVICE_AREA', 'PLAYGROUND', 'INTERCOM']",-23.533551,-46.668058
257,APARTMENT,Santa Cecília,3390,1418,516,3,0,3,1,138,False,['SERVICE_AREA'],-23.537417,-46.656543
258,APARTMENT,Pinheiros,3340,666,28,2,0,2,0,90,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL']",-23.560681,-46.684273
261,APARTMENT,Vila Pompéia,4290,1100,620,3,1,3,2,105,False,[],-23.530042,-46.687466
262,APARTMENT,Higienópolis,3985,1116,56,3,1,2,1,150,False,['SERVICE_AREA'],-23.544988,-46.653456
263,APARTMENT,Pinheiros,4485,1849,637,3,1,2,2,130,False,"['SERVICE_AREA', 'PARTY_HALL', 'CLOSET']",-23.55913,-46.689437
264,APARTMENT,Pinheiros,3900,600,1900,3,3,3,2,130,False,"['BALCONY', 'GYM', 'BARBECUE_GRILL', 'AIR_CONDITIONING', 'ELEVATOR']",-23.55913,-46.689437
265,APARTMENT,Perdizes,1900,668,156,2,-,1,1,60,False,"['ELEVATOR', 'SERVICE_AREA', 'GARDEN', 'PLAYGROUND', 'FIREPLACE']",-23.533842,-46.681676
266,APARTMENT,Liberdade,3200,650,214,2,1,2,1,65,False,[],-23.562158,-46.633569
267,APARTMENT,Perdizes,4500,2215,624,4,3,4,3,192,False,[],-23.531498,-46.667074
268,APARTMENT,Pinheiros,3000,1200,361,2,1,2,1,75,False,[],-23.555684,-46.678293
272,APARTMENT,Higienópolis,3550,930,180,3,1,3,1,100,False,"['GYM', 'BARBECUE_GRILL', 'ELEVATOR', 'PETS_ALLOWED', 'GARDEN']",-23.548102,-46.654299
273,APARTMENT,Vila Pompéia,2300,937,177,3,1,2,1,60,False,"['POOL', 'BALCONY', 'GYM', 'BARBECUE_GRILL', 'GARAGE']",-23.52904,-46.687864
276,APARTMENT,Perdizes,4300,1500,265,3,1,4,2,120,False,"['POOL', 'BALCONY', 'GYM', 'BARBECUE_GRILL', 'SERVICE_AREA']",-23.531455,-46.681882
279,APARTMENT,Pinheiros,4935,890,112,2,0,1,1,90,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL']",-23.562563,-46.675485
280,APARTMENT,Perdizes,3435,1070,469,2,1,2,2,112,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT', 'ADULT_GAME_ROOM']",-23.531373,-46.684195
281,APARTMENT,Santa Cecília,3490,624,23,2,1,1,1,70,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL']",-23.534813,-46.656062
283,APARTMENT,Pinheiros,3340,666,28,2,0,2,0,90,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL']",-23.560681,-46.684273
287,APARTMENT,Higienópolis,4400,2200,500,3,1,4,2,159,False,"['SERVICE_AREA', 'DINNER_ROOM']",-23.546138,-46.656315
289,APARTMENT,Santa Cecília,4500,1047,209,2,1,3,1,80,False,[],-23.539886,-46.659737
296,APARTMENT,Pinheiros,3185,980,265,2,1,2,1,70,False,"['SERVICE_AREA', 'PARTY_HALL']",-23.5529,-46.677953
298,APARTMENT,Vila Pompéia,2300,907,120,2,1,2,2,61,False,"['POOL', 'BARBECUE_GRILL', 'GARAGE', 'GARDEN', 'PLAYGROUND']",-23.529446,-46.687009
301,APARTMENT,Vila Pompéia,2200,632,120,2,0,2,1,56,True,"['FURNISHED', 'ELEVATOR', 'KITCHEN', 'PLAYGROUND', 'PARTY_HALL']",-23.530064,-46.68643
307,APARTMENT,Sumarezinho,2000,710,0,2,0,1,1,70,False,"['ELEVATOR', 'GATED_COMMUNITY', 'SERVICE_AREA', 'PETS_ALLOWED', 'GARDEN']",-23.543482,-46.694371
309,APARTMENT,Pinheiros,3000,900,320,2,0,2,1,60,False,['RECEPTION'],-23.563943,-46.696517
310,APARTMENT,Perdizes,630000,950,100,2,0,1,1,70,False,"['ELEVATOR', 'GATED_COMMUNITY', 'GARDEN']",-23.534789,-46.686674
311,APARTMENT,Pinheiros,2300,480,230,2,1,2,1,84,False,"['BUILTIN_WARDROBE', 'KITCHEN_CABINETS']",-23.553975,-46.682379
316,APARTMENT,Higienópolis,3890,990,220,3,1,3,1,90,True,"['FURNISHED', 'PLAYGROUND', 'PARTY_HALL', 'SPORTS_COURT']",-23.540725,-46.660048
317,APARTMENT,Pinheiros,4490,1600,515,3,1,2,2,108,False,"['SERVICE_AREA', 'PLAYGROUND', 'PARTY_HALL']",-23.56327,-46.684706
319,APARTMENT,Santa Cecília,2900,820,278,2,0,3,1,74,False,[],-23.539911,-46.657099
321,APARTMENT,Pinheiros,3500,730,229,2,0,2,1,63,False,"['POOL', 'GYM', 'BARBECUE_GRILL', 'ELEVATOR', 'GATED_COMMUNITY']",-23.556747,-46.677394
322,APARTMENT,Perdizes,1300000,1642,503,3,3,5,2,136,False,"['POOL', 'GYM', 'ELEVATOR', 'GARDEN', 'PETS_ALLOWED']",-23.535491,-46.686058
324,APARTMENT,Pinheiros,4485,820,330,2,2,2,2,65,False,"['SERVICE_AREA', 'PARTY_HALL', 'ADULT_GAME_ROOM']",-23.565021,-46.686322
326,APARTMENT,Pinheiros,1500,1800,300,2,1,2,1,45,True,"['FURNISHED', 'POOL', 'GYM', 'BARBECUE_GRILL', 'AIR_CONDITIONING']",-23.572794,-46.69846
